"","AverageWorkTime","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"1007",7.60616139846743,55,"No","Travel_Rarely","Research & Development",3,"2","Life Sciences",1,"Female","1","Sales Executive","Married",73510,8,"Y",20,8,"1",34,3,1,0,0,"3","1","3","3","4"
"1008",6.71377155172414,33,"No","Non-Travel","Research & Development",14,"3","Other",1,"Male","1","Research Scientist","Divorced",108200,5,"Y",12,8,"0",11,2,9,1,7,"4","2","2","3","3"
"1009",6.26117387261739,41,"No","Travel_Rarely","Research & Development",5,"3","Medical",1,"Male","1","Sales Representative","Divorced",121690,1,"Y",19,8,"0",5,2,5,0,4,"3","1","3","3","3"
"1010",8.17460018596002,34,"No","Non-Travel","Research & Development",7,"4","Medical",1,"Female","1","Research Scientist","Divorced",196260,1,"Y",21,8,"0",15,5,15,0,7,"4","3","3","2","4"
"1011",8.10757423371648,53,"No","Non-Travel","Research & Development",10,"4","Medical",1,"Male","2","Healthcare Representative","Married",20700,4,"Y",13,8,"2",27,2,3,0,2,"1","3","2","4","3"
"1012",6.08843779677113,43,"No","Travel_Rarely","Sales",16,"2","Marketing",1,"Female","1","Laboratory Technician","Single",67820,0,"Y",16,8,"1",10,2,9,1,8,"2","4","3","3","3"
"1013",7.70343010018215,34,"No","Travel_Rarely","Sales",10,"2","Life Sciences",1,"Female","5","Sales Executive","Single",77790,5,"Y",12,8,"1",6,2,2,2,2,"4","4","3","3","3"
"1014",7.48767494089835,21,"Yes","Travel_Rarely","Sales",1,"2","Marketing",1,"Male","5","Healthcare Representative","Single",27910,1,"Y",14,8,"0",1,3,1,1,0,"2","2","3","4","3"
"1015",6.37956803201507,38,"No","Travel_Rarely","Research & Development",8,"2","Life Sciences",1,"Female","2","Sales Executive","Married",32010,1,"Y",11,8,"1",5,3,5,0,4,"4","3","3","2","3"
"1016",8.87780292638317,22,"Yes","Travel_Rarely","Research & Development",1,"3","Other",1,"Male","4","Research Scientist","Married",49680,1,"Y",14,8,"0",1,3,1,0,0,"3","1","3","3","3"
"1017",7.29431513409962,31,"No","Travel_Rarely","Research & Development",8,"5","Life Sciences",1,"Male","5","Sales Executive","Married",131200,1,"Y",12,8,"2",13,6,12,5,7,"1","4","3","2","3"
"1018",6.72010548523207,51,"No","Travel_Rarely","Research & Development",1,"4","Life Sciences",1,"Female","1","Manager","Married",40330,2,"Y",14,8,"0",15,2,2,2,2,"1","3","3","3","3"
"1019",7.97444329660239,37,"No","Travel_Rarely","Research & Development",24,"1","Life Sciences",1,"Male","2","Sales Executive","Married",32910,1,"Y",16,8,"3",5,2,5,0,3,"2","2","3","2","3"
"1020",10.0192074829932,46,"No","Travel_Rarely","Sales",3,"4","Marketing",1,"Female","1","Sales Representative","Divorced",42720,7,"Y",13,8,"0",24,3,2,2,2,"3","4","3","4","3"
"1021",9.54640509259259,36,"No","Travel_Rarely","Research & Development",27,"3","Technical Degree",1,"Female","4","Research Scientist","Married",50560,7,"Y",12,8,"0",15,2,12,5,7,"4","1","3","2","3"
"1022",9.28488526570048,44,"Yes","Travel_Frequently","Sales",10,"4","Life Sciences",1,"Male","1","Research Scientist","Divorced",28440,1,"Y",12,8,"0",6,2,5,2,3,"3","2","2","4","3"
"1023",6.11124512670565,37,"No","Travel_Rarely","Research & Development",19,"2","Technical Degree",1,"Male","2","Sales Executive","Divorced",27030,2,"Y",14,8,"0",19,2,10,4,7,"3","2","2","3","3"
"1024",8.59096918971373,35,"Yes","Travel_Rarely","Research & Development",15,"4","Life Sciences",1,"Male","2","Research Scientist","Single",19040,1,"Y",22,8,"1",10,4,10,7,7,"3","4","3","3","4"
"1025",8.00134580498866,33,"No","Travel_Rarely","Research & Development",8,"5","Medical",1,"Male","2","Laboratory Technician","Married",82240,6,"Y",19,8,"0",14,3,10,7,6,"4","1","3","3","3"
"1026",7.39815987384765,28,"No","Travel_Rarely","Sales",9,"3","Medical",1,"Female","2","Sales Executive","Married",47660,1,"Y",12,8,"0",5,3,5,0,3,"3","4","4","3","3"
"1027",6.89643189214319,39,"No","Travel_Rarely","Sales",3,"4","Marketing",1,"Female","2","Laboratory Technician","Single",26100,7,"Y",12,8,"0",9,2,4,2,2,"3","3","3","2","3"
"1028",6.69300868770005,46,"No","Non-Travel","Research & Development",9,"2","Life Sciences",1,"Male","2","Manufacturing Director","Single",57310,8,"Y",17,8,"0",6,2,2,2,2,"2","2","3","3","3"
"1029",6.59943236714976,40,"No","Travel_Rarely","Research & Development",2,"2","Medical",1,"Male","1","Research Director","Married",25390,4,"Y",12,8,"1",7,3,4,0,2,"3","1","2","3","3"
"1030",6.59779822029822,42,"No","Travel_Rarely","Research & Development",7,"4","Other",1,"Female","2","Laboratory Technician","Married",57140,5,"Y",11,8,"0",10,2,0,0,0,"2","1","2","3","3"
"1031",6.67714603844351,35,"No","Non-Travel","Sales",10,"1","Life Sciences",1,"Female","2","Research Director","Divorced",43230,2,"Y",18,8,"3",15,3,7,1,7,"2","4","3","3","3"
"1032",7.80269467213115,38,"No","Non-Travel","Sales",6,"4","Marketing",1,"Male","3","Sales Executive","Divorced",73360,5,"Y",11,8,"0",13,3,11,3,8,"1","2","3","3","3"
"1033",7.89393719806763,34,"Yes","Travel_Frequently","Research & Development",2,"1","Life Sciences",1,"Male","1","Manufacturing Director","Married",134990,4,"Y",23,8,"2",11,2,7,0,7,"4","1","2","4","4"
"1034",6.20843278463649,37,"Yes","Travel_Rarely","Research & Development",24,"3","Life Sciences",1,"Male","1","Laboratory Technician","Single",137580,1,"Y",11,8,"1",10,5,10,0,8,"4","1","1","3","3"
"1035",6.19869246861925,39,"No","Travel_Frequently","Research & Development",2,"1","Medical",1,"Male","2","Healthcare Representative","Divorced",51550,2,"Y",18,8,"1",7,3,2,2,2,"3","4","3","2","3"
"1036",7.41805186823992,43,"No","Non-Travel","Human Resources",8,"5","Medical",1,"Female","3","Sales Executive","Single",22580,4,"Y",18,8,"0",7,2,3,1,2,"1","3","2","3","3"
"1037",7.80017021276596,41,"No","Travel_Rarely","Research & Development",3,"3","Life Sciences",1,"Male","3","Research Scientist","Single",35970,3,"Y",13,8,"1",11,2,3,1,2,"2","2","1","1","3"
"1038",10.323418715847,41,"No","Travel_Rarely","Research & Development",1,"1","Technical Degree",1,"Male","3","Laboratory Technician","Divorced",25150,0,"Y",18,8,"0",23,2,22,13,5,"3","3","4","2","3"
"1039",7.06974066390042,30,"No","Travel_Rarely","Sales",26,"3","Marketing",1,"Female","2","Manager","Single",44200,9,"Y",11,8,"0",9,3,7,0,2,"1","3","3","3","3"
"1040",8.69433695652174,26,"Yes","Travel_Rarely","Human Resources",2,"1","Technical Degree",1,"Female","3","Sales Executive","Married",65780,0,"Y",15,8,"2",6,3,5,1,4,"4","2","3","2","3"
"1041",7.96779138321995,46,"Yes","Travel_Rarely","Research & Development",10,"3","Medical",1,"Male","1","Sales Executive","Married",44220,4,"Y",11,8,"1",13,2,9,3,7,"4","2","4","3","3"
"1042",6.59138888888889,40,"No","Travel_Rarely","Sales",27,"2","Medical",1,"Female","3","Sales Executive","Divorced",102740,4,"Y",18,8,"0",12,3,5,0,3,"3","4","3","3","3"
"1043",7.37393558429119,34,"No","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Male","2","Laboratory Technician","Married",53430,1,"Y",14,8,"0",10,5,10,4,8,"2","3","3","2","3"
"1044",6.60435756744399,58,"No","Non-Travel","Research & Development",2,"4","Medical",1,"Male","1","Laboratory Technician","Divorced",23760,4,"Y",12,8,"1",37,3,16,14,14,"2","2","2","3","3"
"1045",7.40420687134503,35,"No","Travel_Rarely","Research & Development",8,"1","Technical Degree",1,"Female","3","Manufacturing Director","Married",53460,0,"Y",14,8,"0",6,3,5,0,3,"2","3","4","2","3"
"1046",10.7097115839243,47,"No","Travel_Rarely","Research & Development",19,"5","Medical",1,"Female","2","Research Scientist","Divorced",28270,8,"Y",14,8,"1",28,3,22,14,10,"3","2","3","3","3"
"1047",7.2272386310361,40,"No","Travel_Rarely","Research & Development",1,"4","Life Sciences",1,"Male","2","Manager","Divorced",199430,2,"Y",13,8,"1",15,3,7,7,7,"2","1","3","3","3"
"1048",7.08419699175158,54,"No","Travel_Rarely","Sales",27,"4","Medical",1,"Male","1","Research Scientist","Married",31310,4,"Y",14,8,"0",14,3,7,1,7,"4","4","2","2","3"
"1049",7.49090661938534,31,"No","Travel_Frequently","Sales",8,"4","Other",1,"Female","3","Manufacturing Director","Married",25520,2,"Y",18,8,"0",9,2,3,2,2,"1","1","3","3","3"
"1050",7.55244202898551,28,"No","Travel_Rarely","Sales",1,"2","Life Sciences",1,"Male","3","Manager","Married",44770,1,"Y",15,8,"0",3,6,3,1,2,"3","1","3","3","3"
"1051",9.51193277310924,38,"No","Travel_Rarely","Research & Development",19,"3","Medical",1,"Female","2","Manufacturing Director","Married",64740,2,"Y",13,8,"2",20,3,4,0,3,"2","4","2","1","3"
"1052",6.12189446768945,26,"No","Travel_Rarely","Sales",8,"3","Marketing",1,"Female","1","Healthcare Representative","Single",30330,1,"Y",12,8,"0",5,2,5,1,2,"3","4","3","2","3"
"1053",9.58872222222222,58,"No","Travel_Frequently","Research & Development",10,"4","Technical Degree",1,"Female","1","Sales Representative","Married",29360,2,"Y",13,8,"1",23,3,2,2,2,"1","3","3","3","3"
"1054",7.65253191489362,18,"No","Non-Travel","Research & Development",2,"3","Life Sciences",1,"Male","3","Sales Representative","Single",186060,1,"Y",24,8,"2",0,4,0,0,0,"2","3","1","3","4"
"1055",6.11072104018913,31,"Yes","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Male","3","Laboratory Technician","Married",21680,0,"Y",14,8,"1",2,2,1,0,0,"4","1","3","3","3"
"1056",8.69596822130773,29,"Yes","Travel_Rarely","Research & Development",8,"2","Medical",1,"Male","1","Manager","Divorced",28530,4,"Y",14,8,"1",4,5,2,2,0,"1","1","3","2","3"
"1057",7.20318007662835,45,"No","Non-Travel","Sales",1,"4","Technical Degree",1,"Male","1","Research Scientist","Married",170480,4,"Y",15,8,"0",10,3,8,5,7,"3","3","4","2","3"
"1058",10.6588203309693,36,"No","Travel_Rarely","Sales",2,"3","Technical Degree",1,"Female","5","Laboratory Technician","Married",22900,4,"Y",11,8,"0",15,5,1,0,0,"4","2","3","3","3"
"1059",6.99689734299517,43,"No","Travel_Frequently","Sales",8,"3","Medical",1,"Male","1","Research Director","Married",36000,1,"Y",23,8,"0",7,2,7,7,7,"1","4","3","3","4"
"1060",10.2060410927456,27,"No","Travel_Frequently","Sales",8,"4","Life Sciences",1,"Male","5","Research Scientist","Single",21070,0,"Y",13,8,"0",6,2,5,0,2,"4","4","2","3","3"
"1061",7.69339545241444,29,"No","Travel_Frequently","Research & Development",6,"2","Medical",1,"Male","1","Human Resources","Married",41150,1,"Y",11,8,"0",11,1,11,3,10,"4","4","4","3","3"
"1062",7.60160265700483,32,"No","Travel_Frequently","Sales",9,"4","Life Sciences",1,"Male","4","Sales Executive","Single",43270,8,"Y",13,8,"0",4,4,0,0,0,"4","4","4","3","3"
"1063",6.49087201125176,42,"No","Non-Travel","Research & Development",11,"3","Medical",1,"Male","1","Manager","Married",178560,3,"Y",18,8,"0",10,2,6,3,3,"3","3","2","3","3"
"1064",6.10028269419862,47,"No","Travel_Rarely","Sales",2,"2","Life Sciences",1,"Female","5","Manager","Single",31960,4,"Y",14,8,"1",7,3,2,2,0,"2","3","3","2","3"
"1065",7.2371160130719,46,"No","Travel_Rarely","Human Resources",1,"3","Life Sciences",1,"Female","1","Laboratory Technician","Divorced",190810,3,"Y",21,8,"0",12,2,9,4,7,"4","4","2","3","4"
"1066",7.69469122556032,28,"No","Non-Travel","Research & Development",7,"3","Life Sciences",1,"Male","1","Sales Executive","Divorced",89660,1,"Y",16,8,"1",3,3,3,2,2,"3","4","3","2","3"
"1067",7.99858706108706,29,"No","Travel_Rarely","Research & Development",16,"3","Medical",1,"Female","1","Manufacturing Director","Divorced",22100,8,"Y",11,8,"1",11,4,7,1,6,"4","3","3","3","3"
"1068",6.59336906408483,42,"No","Travel_Rarely","Sales",2,"4","Medical",1,"Female","2","Research Director","Single",45390,4,"Y",17,8,"1",8,5,0,0,0,"4","3","3","3","3"
"1069",10.4116397093296,32,"Yes","Travel_Rarely","Research & Development",1,"1","Medical",1,"Male","2","Laboratory Technician","Single",27410,7,"Y",11,8,"0",7,3,2,2,2,"3","2","2","3","3"
"1070",7.87074929971989,46,"No","Travel_Rarely","Research & Development",23,"1","Life Sciences",1,"Male","2","Laboratory Technician","Divorced",34910,2,"Y",14,8,"0",25,0,19,2,8,"1","1","3","3","3"
"1071",7.08247210092188,27,"No","Travel_Rarely","Sales",2,"3","Life Sciences",1,"Female","5","Research Scientist","Married",45410,1,"Y",14,8,"2",9,4,9,5,8,"2","3","3","4","3"
"1072",7.98067021276596,29,"No","Travel_Rarely","Research & Development",1,"2","Medical",1,"Male","3","Sales Executive","Married",26780,1,"Y",25,8,"1",1,3,1,0,0,"4","2","3","3","4"
"1073",6.30185376492195,43,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","1","Manufacturing Director","Married",73790,7,"Y",13,8,"2",21,3,16,6,14,"1","3","3","2","3"
"1074",6.10400843881857,48,"No","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Female","2","Manager","Married",62720,4,"Y",14,8,"0",29,3,22,12,9,"4","2","3","2","3"
"1075",8.58941001899335,29,"Yes","Travel_Frequently","Research & Development",13,"2","Life Sciences",1,"Female","1","Laboratory Technician","Single",52200,1,"Y",17,8,"0",1,3,1,1,0,"4","4","2","2","3"
"1076",7.88435144927536,46,"Yes","Travel_Rarely","Research & Development",4,"4","Medical",1,"Female","2","Sales Representative","Married",27430,5,"Y",25,8,"1",14,1,8,0,7,"3","2","3","4","4"
"1077",7.68333800186741,27,"No","Travel_Frequently","Research & Development",16,"4","Medical",1,"Male","3","Healthcare Representative","Married",49980,0,"Y",20,8,"2",8,3,7,7,3,"4","1","2","3","4"
"1079",6.23429496233522,55,"No","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Female","1","Human Resources","Married",27810,8,"Y",13,8,"1",19,2,5,0,4,"2","4","4","3","3"
"1080",7.03218306412139,28,"No","Travel_Rarely","Research & Development",29,"2","Life Sciences",1,"Male","2","Laboratory Technician","Married",68520,1,"Y",18,8,"1",1,2,1,0,0,"2","2","3","4","3"
"1081",7.69290692007797,30,"Yes","Travel_Rarely","Sales",12,"4","Life Sciences",1,"Female","2","Sales Executive","Single",49500,1,"Y",12,8,"2",1,3,1,0,0,"2","4","2","3","3"
"1082",10.5038077274806,22,"Yes","Travel_Rarely","Research & Development",16,"2","Life Sciences",1,"Female","2","Laboratory Technician","Single",35790,1,"Y",19,8,"3",1,3,1,0,0,"4","2","3","3","3"
"1083",9.49515924329502,36,"No","Travel_Rarely","Research & Development",11,"3","Life Sciences",1,"Male","1","Sales Executive","Married",131910,1,"Y",14,8,"1",10,2,10,1,7,"2","3","3","2","3"
"1084",7.47948799435028,31,"No","Travel_Rarely","Research & Development",2,"4","Life Sciences",1,"Female","5","Manager","Divorced",103770,1,"Y",14,8,"0",10,2,10,0,2,"2","3","3","3","3"
"1085",8.12262265512265,34,"No","Travel_Rarely","Sales",14,"2","Technical Degree",1,"Female","1","Sales Executive","Married",22350,2,"Y",14,8,"1",9,2,5,1,0,"3","4","3","3","3"
"1086",7.12018993352327,29,"No","Travel_Rarely","Research & Development",5,"5","Life Sciences",1,"Female","1","Sales Executive","Single",105020,3,"Y",12,8,"0",11,4,3,1,2,"4","1","3","2","3"
"1087",8.6669635193133,37,"No","Travel_Rarely","Research & Development",7,"2","Medical",1,"Male","1","Manufacturing Director","Married",20110,5,"Y",13,8,"0",16,4,5,0,4,"4","1","3","4","3"
"1088",10.4704961133973,35,"No","Travel_Rarely","Sales",2,"1","Technical Degree",1,"Male","2","Laboratory Technician","Married",18590,0,"Y",25,8,"1",4,2,3,0,2,"4","2","3","2","4"
"1089",7.10664370982553,45,"No","Travel_Rarely","Research & Development",3,"3","Medical",1,"Female","2","Sales Executive","Married",37600,0,"Y",14,8,"1",10,2,9,3,8,"2","4","2","2","3"
"1090",6.49684043073911,36,"No","Travel_Frequently","Research & Development",5,"3","Medical",1,"Female","4","Manufacturing Director","Single",177790,1,"Y",17,8,"1",10,5,10,0,8,"2","4","2","1","3"
"1091",6.77528460837887,40,"No","Travel_Rarely","Research & Development",3,"3","Other",1,"Male","1","Sales Executive","Divorced",68330,2,"Y",13,8,"0",22,3,19,11,16,"1","1","3","3","3"
"1092",9.30175186741363,26,"No","Travel_Rarely","Research & Development",26,"2","Life Sciences",1,"Male","2","Human Resources","Married",68120,1,"Y",13,8,"0",1,2,1,1,0,"2","3","2","2","3"
"1094",7.23227480566987,48,"No","Travel_Frequently","Research & Development",2,"3","Life Sciences",1,"Male","2","Research Director","Divorced",197400,3,"Y",14,8,"0",24,2,22,4,7,"4","4","3","4","3"
"1095",7.07728792070078,44,"No","Travel_Rarely","Sales",1,"2","Medical",1,"Male","4","Manager","Married",187110,2,"Y",12,8,"1",10,0,2,2,2,"2","1","3","3","3"
"1096",10.1878510638298,34,"Yes","Non-Travel","Research & Development",27,"2","Life Sciences",1,"Female","1","Sales Representative","Married",36920,1,"Y",12,8,"1",5,5,5,3,0,"4","1","3","3","3"
"1097",6.86482443482443,56,"Yes","Travel_Rarely","Human Resources",1,"2","Medical",1,"Female","5","Sales Executive","Single",25590,1,"Y",21,8,"0",5,3,4,1,0,"1","4","3","3","4"
"1098",7.28910087719298,36,"No","Travel_Rarely","Research & Development",13,"3","Technical Degree",1,"Female","3","Healthcare Representative","Married",25170,2,"Y",14,8,"0",12,3,4,1,3,"3","2","1","3","3"
"1099",6.41364022319263,41,"No","Travel_Rarely","Research & Development",5,"3","Life Sciences",1,"Female","1","Sales Executive","Married",66230,5,"Y",18,8,"0",14,3,5,1,4,"3","2","3","3","3"
"1100",7.38324712643678,42,"No","Travel_Rarely","Research & Development",7,"3","Technical Degree",1,"Female","2","Sales Executive","Married",182650,9,"Y",12,8,"1",18,4,13,5,7,"3","1","4","3","3"
"1101",8.32723665223665,31,"No","Travel_Rarely","Sales",9,"4","Life Sciences",1,"Female","1","Sales Executive","Divorced",161240,2,"Y",23,8,"1",8,2,5,1,4,"3","4","3","2","4"
"1102",9.21250929800093,34,"No","Travel_Rarely","Research & Development",8,"1","Life Sciences",1,"Female","3","Laboratory Technician","Married",25850,3,"Y",12,8,"0",9,5,4,0,1,"4","4","2","3","3"
"1103",6.80130414312618,31,"No","Travel_Rarely","Sales",25,"2","Life Sciences",1,"Female","3","Manufacturing Director","Divorced",182130,8,"Y",21,8,"2",4,3,2,2,2,"1","3","2","4","4"
"1105",7.78496732026144,45,"No","Travel_Frequently","Research & Development",8,"4","Life Sciences",1,"Female","2","Manager","Single",29940,4,"Y",18,8,"1",12,2,4,0,3,"2","3","3","3","3"
"1106",6.45017224648229,33,"No","Travel_Rarely","Sales",1,"3","Life Sciences",1,"Female","5","Sales Executive","Single",12230,1,"Y",13,8,"1",10,3,10,0,9,"2","3","2","3","3"
"1107",10.6035982184716,28,"No","Travel_Frequently","Sales",8,"3","Life Sciences",1,"Male","4","Research Scientist","Married",11180,1,"Y",11,8,"0",7,3,7,0,7,"3","4","3","3","3"
"1108",6.80647222222222,29,"Yes","Travel_Frequently","Human Resources",2,"4","Human Resources",1,"Male","2","Sales Executive","Single",28750,1,"Y",11,8,"0",1,3,1,0,0,"3","1","3","3","3"
"1109",6.29495652173913,39,"No","Non-Travel","Research & Development",8,"5","Medical",1,"Female","2","Sales Representative","Married",188240,6,"Y",19,8,"1",10,4,3,1,2,"1","3","3","3","3"
"1110",7.28515107212476,27,"No","Travel_Rarely","Sales",3,"2","Technical Degree",1,"Male","2","Healthcare Representative","Married",135770,1,"Y",12,8,"1",6,2,5,1,2,"2","2","2","3","3"
"1111",8.92771402550091,34,"No","Travel_Frequently","Research & Development",9,"4","Life Sciences",1,"Female","2","Manufacturing Director","Married",26250,1,"Y",12,8,"3",16,4,15,6,11,"3","4","3","3","3"
"1112",9.4250283446712,28,"Yes","Travel_Rarely","Research & Development",25,"3","Technical Degree",1,"Male","1","Research Director","Single",187890,3,"Y",16,8,"1",6,4,2,2,2,"4","3","3","3","3"
"1113",6.00341954022988,47,"No","Non-Travel","Research & Development",1,"4","Medical",1,"Male","1","Research Scientist","Married",45380,8,"Y",11,8,"0",16,3,8,1,7,"3","2","4","3","3"
"1114",7.89080086580087,56,"No","Travel_Rarely","Research & Development",4,"3","Technical Degree",1,"Female","2","Sales Executive","Married",198470,4,"Y",14,8,"0",6,6,0,0,0,"4","1","3","3","3"
"1115",6.98611594202899,39,"No","Travel_Rarely","Research & Development",1,"3","Other",1,"Female","1","Laboratory Technician","Married",105120,1,"Y",12,8,"1",10,2,10,7,9,"1","1","3","3","3"
"1116",10.8080273261066,38,"No","Travel_Frequently","Research & Development",4,"2","Medical",1,"Female","1","Manager","Divorced",44440,1,"Y",13,8,"0",20,2,20,0,7,"4","2","3","3","3"
"1117",9.88891937669377,58,"No","Travel_Rarely","Sales",5,"3","Marketing",1,"Male","5","Sales Representative","Married",21540,4,"Y",21,8,"1",29,3,1,0,0,"4","4","2","3","4"
"1118",10.2208723404255,32,"Yes","Travel_Frequently","Research & Development",9,"3","Life Sciences",1,"Male","2","Laboratory Technician","Single",191900,3,"Y",17,8,"1",8,2,4,0,3,"1","3","3","3","3"
"1119",7.62043853427896,38,"No","Travel_Rarely","Research & Development",3,"4","Life Sciences",1,"Female","1","Sales Representative","Divorced",44900,2,"Y",21,8,"1",10,1,5,0,3,"2","4","4","3","4"
"1120",6.28495744680851,49,"No","Travel_Frequently","Sales",11,"4","Life Sciences",1,"Male","2","Research Scientist","Married",35060,3,"Y",11,8,"1",28,4,5,4,3,"2","4","3","2","3"
"1121",8.70198216735254,42,"No","Travel_Rarely","Sales",1,"3","Life Sciences",1,"Female","1","Sales Executive","Divorced",23720,3,"Y",12,8,"1",14,3,0,0,0,"2","4","3","3","3"
"1122",6.50210350391886,27,"Yes","Travel_Frequently","Sales",8,"1","Life Sciences",1,"Male","4","Laboratory Technician","Married",102310,1,"Y",13,8,"1",1,2,1,0,0,"1","2","3","3","3"
"1123",6.61263888888889,35,"No","Travel_Rarely","Research & Development",25,"1","Medical",1,"Male","1","Sales Executive","Married",54100,0,"Y",18,8,"0",6,4,5,0,4,"2","1","1","3","3"
"1124",6.66557231800766,28,"No","Non-Travel","Research & Development",21,"1","Medical",1,"Male","3","Research Scientist","Single",79780,1,"Y",16,8,"2",5,2,5,1,4,"3","3","2","3","3"
"1125",9.81298245614035,31,"No","Non-Travel","Sales",23,"1","Medical",1,"Male","1","Sales Executive","Divorced",38670,1,"Y",11,8,"1",4,4,4,2,3,"3","1","4","4","3"
"1126",7.10165977961432,36,"No","Non-Travel","Research & Development",1,"3","Life Sciences",1,"Male","2","Research Scientist","Married",28380,1,"Y",19,8,"2",5,5,5,0,2,"1","2","3","1","3"
"1127",6.02479344729345,34,"No","Travel_Rarely","Sales",2,"3","Marketing",1,"Male","4","Healthcare Representative","Single",46950,1,"Y",16,8,"1",14,2,14,2,1,"1","4","2","3","3"
"1128",6.80205461790905,34,"No","Travel_Rarely","Research & Development",19,"3","Technical Degree",1,"Female","1","Research Director","Divorced",33390,1,"Y",16,8,"0",9,2,8,1,1,"4","3","2","2","3"
"1129",6.77112832874197,26,"No","Travel_Rarely","Research & Development",2,"2","Life Sciences",1,"Male","2","Research Scientist","Single",20800,0,"Y",13,8,"0",8,6,7,7,6,"3","1","2","4","3"
"1130",7.72094097222222,29,"No","Travel_Rarely","Research & Development",2,"4","Other",1,"Male","2","Laboratory Technician","Married",20960,0,"Y",22,8,"0",6,2,5,0,2,"1","1","2","4","4"
"1131",6.59258993624772,32,"No","Non-Travel","Research & Development",3,"1","Life Sciences",1,"Male","3","Manager","Divorced",62090,5,"Y",17,8,"1",9,5,5,1,2,"3","4","3","4","3"
"1132",6.92129746835443,31,"No","Travel_Frequently","Research & Development",25,"5","Technical Degree",1,"Female","2","Human Resources","Married",180610,1,"Y",14,8,"1",10,2,10,8,7,"4","1","3","3","3"
"1133",6.31986417033774,28,"Yes","Travel_Rarely","Sales",7,"5","Life Sciences",1,"Female","2","Sales Representative","Divorced",171230,5,"Y",15,8,"1",6,2,4,0,3,"3","4","2","2","3"
"1134",7.17983424782808,38,"No","Travel_Rarely","Research & Development",9,"2","Technical Degree",1,"Male","3","Sales Representative","Single",23720,4,"Y",12,8,"0",20,3,1,0,0,"1","1","2","2","3"
"1135",8.81563285024155,35,"No","Travel_Rarely","Research & Development",5,"3","Life Sciences",1,"Male","2","Sales Representative","Married",48830,1,"Y",18,8,"1",10,1,10,0,9,"3","4","3","1","3"
"1136",7.89116255144033,27,"No","Travel_Rarely","Sales",2,"3","Life Sciences",1,"Female","1","Manager","Single",39040,1,"Y",15,8,"0",7,2,7,0,7,"4","4","3","3","3"
"1137",7.29877640036731,32,"No","Travel_Rarely","Research & Development",8,"1","Medical",1,"Female","2","Research Scientist","Single",46270,8,"Y",17,8,"1",8,2,1,0,0,"4","4","3","2","3"
"1138",10.3176999521073,31,"Yes","Travel_Frequently","Research & Development",2,"1","Other",1,"Male","3","Sales Executive","Married",70940,1,"Y",14,8,"1",10,2,10,0,8,"1","4","3","3","3"
"1139",10.8079943310658,53,"Yes","Travel_Rarely","Research & Development",18,"3","Medical",1,"Male","1","Research Scientist","Single",34230,6,"Y",15,8,"1",15,4,2,2,2,"1","1","2","3","3"
"1140",7.89652053140097,54,"No","Travel_Rarely","Research & Development",14,"3","Other",1,"Male","3","Research Scientist","Married",66740,3,"Y",17,8,"1",9,2,4,2,3,"1","3","2","3","3"
"1141",7.89886583679115,33,"No","Travel_Frequently","Research & Development",2,"4","Medical",1,"Female","4","Sales Executive","Divorced",168800,1,"Y",14,8,"3",9,2,9,2,8,"4","3","3","3","3"
"1142",7.48015027322404,43,"No","Travel_Rarely","Research & Development",3,"3","Medical",1,"Male","1","Research Scientist","Married",90940,1,"Y",12,8,"1",10,0,10,0,9,"1","3","3","3","3"
"1143",7.9581654589372,38,"No","Travel_Frequently","Research & Development",2,"5","Medical",1,"Female","4","Sales Executive","Married",84460,0,"Y",14,8,"0",7,3,6,1,2,"4","2","3","2","3"
"1144",8.18659101654846,55,"No","Travel_Rarely","Sales",9,"3","Marketing",1,"Male","2","Laboratory Technician","Married",119160,4,"Y",15,8,"1",35,3,10,1,4,"3","2","3","2","3"
"1145",10.8047302571166,31,"No","Travel_Rarely","Sales",6,"3","Other",1,"Male","1","Manufacturing Director","Divorced",45340,1,"Y",13,8,"0",1,2,1,0,0,"4","4","3","3","3"
"1146",6.08909267345949,39,"No","Travel_Rarely","Research & Development",4,"3","Life Sciences",1,"Male","2","Sales Executive","Single",98520,0,"Y",12,8,"1",21,5,20,11,10,"2","1","3","2","3"
"1147",6.59101892285298,42,"No","Non-Travel","Research & Development",10,"4","Life Sciences",1,"Female","2","Research Scientist","Single",61510,1,"Y",13,8,"1",20,3,20,3,7,"4","3","3","3","3"
"1148",6.10367063492064,31,"No","Non-Travel","Research & Development",14,"2","Life Sciences",1,"Male","2","Healthcare Representative","Married",23020,4,"Y",14,8,"0",13,3,11,4,8,"3","3","4","3","3"
